Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
168,9M4LGJ,147.6125,-,0.6,Tone,85.4,88.5,23,NN,FM,5,,,,,,
169,9M4RBH,146.875,-,0.6,Tone,85.4,88.5,23,NN,FM,5,,,,,,
170,9M4RGR,145.6125,-,0.6,Tone,103.5,88.5,23,NN,FM,5,,,,,,
200,FRS,446.4,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
201,446000,446,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
202,446050,446.05,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
203,446100,446.1,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
204,446150,446.15,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
205,446200,446.2,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
206,446250,446.25,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
207,446300,446.3,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
208,446350,446.35,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
209,446400,446.4,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
210,446450,446.45,,5,,88.5,88.5,23,NN,FM,5,,,,,,
211,446500,446.5,,5,,88.5,88.5,23,NN,FM,5,,,,,,
