Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
90,9M4RAS,145.925000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RAS near BUKIT GELIGA, None OPEN ASTRA Transnasional",,,,
91,KLT,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
92,9M4RVA,145.675000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RVA near Kota Bharu, None OPEN",,,,
93,9M4RGT,147.650000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGT near Tumpat, None OPEN",,,,
94,9M4RDD,146.637500,-,0.600000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RDD near Pasir Mas, None OPEN",,,,
95,9M4RBP,146.700000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBP near Tanah Merah, None OPEN",,,,
96,9M4RTM,146.850000,-,0.600000,Tone,167.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RTM near Tanah Merah, None OPEN",,,,
97,9M4RAB,147.712500,-,0.600000,Tone,233.6,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RAB near Bachok, None OPEN",,,,
98,9M4RKH,146.612500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RKH near BUKIT BAKAR, None OPEN",,,,
99,9M4RDF,146.812500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RDF near GUA MUSANG, None OPEN ASTRA Transnasional",,,,
100,SBH,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
101,9M4RBZ,145.087500,+,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBZ near Sipitang, Sabah, None OPEN",,,,
102,9M4CTR,147.650000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4CTR near TUARAN, None OPEN",,,,
103,9M4RSW,145.712500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RSW near KOTA KINABALU, None OPEN",,,,
104,9M4RLX,144.225000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLX near KOTA MARUDU, None OPEN",,,,
105,9M4RBW,146.312500,+,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBW near BUKIT ANDRASY, None OPEN",,,,
106,9M4RTY,147.237500,+,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RTY near TRIG HILL, SANDAKAN, None OPEN",,,,
107,9M4RLB,147.750000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLB near GUNUNG KINABALU, None OPEN",,,,
108,9M4RSB,439.150000,-,5.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RSB near Kota Kinabalu, None OPEN MARTS Repeater Linking Network",,,,
109,9M4BHR,147.850000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4BHR near BORNEO HIGHLANDS, None OPEN",,,,
110,9M4RGK,439.850000,-,5.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGK near Ranau, None OPEN MARTS Repeater Linking Network",,,,
111,SRK,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
112,9M4RHW,147.100000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RHW near THE GRAND OLD LADY, MIRI, None OPEN",,,,
113,9M4RTL,147.950000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RTL near TG LOBANG, MIRI, None OPEN",,,,
114,9M4RGA,147.800000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGA near GUNUNG AMPUNGAN, SERIAN, None OPEN",,,,
115,9M4REW,439.850000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4REW near KUCHING, None OPEN",,,,
133,V CHANNEL,145.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
134,V16,145.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
135,V17,145.212500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
136,V18,145.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
137,V19,145.237500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
138,V20,145.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
139,V21,145.262500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
140,V22,145.275000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
141,V23,145.287500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
142,V24,145.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
143,V25,145.312500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
144,V26,145.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
145,V27,145.337500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
146,V28,145.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
